week,player_name,team_owner,position,points,note
1,Tony Pollard,HitmonAchanes,RB,3.9,
1,Marvin Harrison Jr.,Maserati Marv,WR,3.8,
1,MarShawn Lloyd,Bye Week,RB,3.7,
1,Rachaad White,Team Mel,RB,3.7,
1,Tre Tucker,The Wet Bandits,WR,3.7,
1,J.K. Dobbins,Maserati Marv,RB,3.6,
1,Jerry Jeudy,Team Mel,WR,3.6,
1,Jayden Reed,Team Mel,WR,3.5,
1,Tyjae Spears,Tee Time,RB,3.4,
1,Xavier Worthy,Wild Bill,WR,3.3,
1,Harold Fannin Jr.,Bye Week,TE,3.1,
1,Rico Dowdle,HitmonAchanes,RB,3.1,
1,Brian Robinson,Tee Time,RB,3.1,
1,Chargers,Jeff,DEF,3.0,
1,Broncos,The Gungans,DEF,3.0,
1,Bo Nix,Wild Bill,QB,2.82,
1,Quentin Johnston,Surrender Your Booty,WR,2.7,
1,Terry McLaurin,Maserati Marv,WR,2.4,
1,Kenny Gainwell,Baby Mama,RB,2.3,
1,Chris Rodriguez Jr.,The Wet Bandits,RB,2.3,
1,George Kittle,Tee Time,TE,2.2,
1,Ja'Marr Chase,The Gungans,WR,2.2,
1,Courtland Sutton,The Wet Bandits,WR,2.1,
1,Bears,The Wet Bandits,DEF,2.0,
1,Jake Ferguson,Wild Bill,TE,1.6,
1,Matthew Stafford,Baby Mama,QB,1.0,
1,Makai Lemon,Surrender Your Booty,WR,1.0,
1,Keaton Mitchell,Baby Mama,RB,0.9,
1,Rashid Shaheed,Jeff,WR,0.9,
1,Jaylen Waddle,JP'Marrgan Chase,WR,0.7,
1,Ray Davis,Tee Time,RB,0.3,
1,Tank Bigsby,Wild Bill,RB,0.3,
1,Sam Darnold,Wild Bill,QB,0.26,
1,Jordy Tyson,Bye Week,WR,0.0,"player not found in any real Week 1 box score at all -- likely inactive, injured, or off the active roster; verify"
1,TreVeyon Henderson,Bye Week,RB,0.0,"no stat line in real Week 1 box score (0 touches, injury, or inactive -- verify roster status)"
1,Kyle Pitts Sr.,HitmonAchanes,TE,0.0,
1,Colston Loveland,JP'Marrgan Chase,TE,0.0,
1,De'Zhaun Stribling,JP'Marrgan Chase,WR,0.0,"player not found in any real Week 1 box score at all -- likely inactive, injured, or off the active roster; verify"
1,Jonah Coleman,JP'Marrgan Chase,RB,0.0,
1,Zach Charbonnet,JP'Marrgan Chase,RB,0.0,"player not found in any real Week 1 box score at all -- likely inactive, injured, or off the active roster; verify"
1,Brock Bowers,Team Mel,TE,0.0,"player not found in any real Week 1 box score at all -- likely inactive, injured, or off the active roster; verify"
1,Jordan Addison,Tee Time,WR,0.0,
1,Romeo Doubs,The Wet Bandits,WR,0.0,
1,Alvin Kamara,The Wet Bandits,RB,0.0,"no stat line in real Week 1 box score (0 touches, injury, or inactive -- verify roster status)"
1,Josh Jacobs,Wild Bill,RB,0.0,"player not found in any real Week 1 box score at all -- likely inactive, injured, or off the active roster; verify"
1,Kaleb Johnson,Tee Time,RB,0.0,
1,Kyler Murray,Jeff,QB,-0.74,
1,Texans,Team Mel,DEF,-4.0,
2,Jaxon Smith-Njigba,Surrender Your Booty,WR,38.0,
2,Josh Allen,The Gungans,QB,35.86,
2,Davante Adams,HitmonAchanes,WR,35.5,
2,CeeDee Lamb,Jeff,WR,31.3,
2,Amon-Ra St. Brown,JP'Marrgan Chase,WR,30.7,
2,Jared Goff,JP'Marrgan Chase,QB,29.24,
2,Patrick Mahomes,Team Mel,QB,27.34,
2,Jonathan Taylor,Maserati Marv,RB,27.2,
2,Matthew Stafford,Baby Mama,QB,26.44,
2,Patriots,Surrender Your Booty,DEF,26.0,
2,Kenneth Walker III,The Wet Bandits,RB,24.8,
2,James Cook III,Tee Time,RB,24.4,
2,Dak Prescott,The Wet Bandits,QB,24.18,
2,Ja'Marr Chase,The Gungans,WR,23.0,
2,Brock Purdy,JP'Marrgan Chase,QB,22.74,
2,DeVonta Smith,Baby Mama,WR,22.7,
2,Christian McCaffrey,Baby Mama,RB,20.6,
2,Travis Kelce,HitmonAchanes,TE,20.6,
2,Tre Tucker,The Wet Bandits,WR,20.4,
2,Jahmyr Gibbs,Jeff,RB,20.3,
2,Vikings,Baby Mama,DEF,20.0,
2,Dalton Schultz,The Gungans,TE,20.0,
2,Stefon Diggs,Baby Mama,WR,19.2,
2,Dalton Kincaid,Jeff,TE,19.0,
2,Chris Olave,Bye Week,WR,18.6,
2,Jake Ferguson,Wild Bill,TE,18.3,
2,Rams,Maserati Marv,DEF,18.0,
2,Denzel Boston,Jeff,WR,18.0,
2,Jaylen Waddle,JP'Marrgan Chase,WR,17.8,
2,Tyler Shough,Wild Bill,QB,17.34,
2,Omarion Hampton,Maserati Marv,RB,16.5,
2,Derrick Henry,The Wet Bandits,RB,16.2,
2,George Kittle,Tee Time,TE,16.0,
2,C.J. Stroud,Maserati Marv,QB,15.96,
2,Seahawks,HitmonAchanes,DEF,15.0,
2,Kyren Williams,HitmonAchanes,RB,14.7,
2,Aaron Jones Sr.,Baby Mama,RB,14.5,
2,Sam LaPorta,Maserati Marv,TE,14.2,
2,Garrett Wilson,JP'Marrgan Chase,WR,14.2,
2,Trey McBride,The Wet Bandits,TE,14.1,
2,TreVeyon Henderson,Bye Week,RB,13.6,
