pick,team_name,player_name,position,nfl_team,is_keeper
79,Lamb Over Rice,Jalen Hurts,QB,Eagles,False
90,Lamb Over Rice,Blake Corum,RB,Rams,False
103,Lamb Over Rice,Michael Pittman Jr.,WR,Steelers,False
114,Lamb Over Rice,Colston Loveland,TE,Bears,True
127,Lamb Over Rice,Jordyn Tyson,WR,Saints,False
138,Lamb Over Rice,Tre Tucker,WR,Raiders,False
151,Lamb Over Rice,Jaylin Noel,WR,Texans,False
162,Lamb Over Rice,Terrance Ferguson,TE,Rams,False
8,Matty Ice Age,De'Von Achane,RB,Dolphins,False
17,Matty Ice Age,Drake London,WR,Falcons,False
32,Matty Ice Age,Rashee Rice,WR,Chiefs,False
41,Matty Ice Age,Travis Etienne Jr.,RB,Saints,False
56,Matty Ice Age,Davante Adams,WR,Rams,False
65,Matty Ice Age,Mike Evans,WR,49ers,False
80,Matty Ice Age,Dak Prescott,QB,Cowboys,False
89,Matty Ice Age,J.K. Dobbins,RB,Broncos,False
104,Matty Ice Age,Travis Kelce,TE,Chiefs,False
113,Matty Ice Age,Kyle Monangai,RB,Bears,False
128,Matty Ice Age,Woody Marks,RB,Texans,False
137,Matty Ice Age,Matthew Stafford,QB,Rams,False
152,Matty Ice Age,Chig Okonkwo,TE,Commanders,False
161,Matty Ice Age,Patriots,DEF,Patriots,False
9,Puka Nicoclear!,James Cook III,RB,Bills,False
16,Puka Nicoclear!,A.J. Brown,WR,Patriots,False
33,Puka Nicoclear!,Trey McBride,TE,Cardinals,False
40,Puka Nicoclear!,Garrett Wilson,WR,Jets,False
57,Puka Nicoclear!,Quinshon Judkins,RB,Browns,False
64,Puka Nicoclear!,Carnell Tate,WR,Titans,False
81,Puka Nicoclear!,Bo Nix,QB,Broncos,False
88,Puka Nicoclear!,Jacory Croskey-Merritt,RB,Commanders,False
105,Puka Nicoclear!,Makai Lemon,WR,Eagles,False
112,Puka Nicoclear!,Cam Skattebo,RB,Giants,True
129,Puka Nicoclear!,Denzel Boston,WR,Browns,False
136,Puka Nicoclear!,Emmett Johnson,RB,Chiefs,False
153,Puka Nicoclear!,Cyrus Allen,WR,Chiefs,False
160,Puka Nicoclear!,Jared Goff,QB,Lions,False
10,Hall Too Well,Saquon Barkley,RB,Eagles,False
15,Hall Too Well,CeeDee Lamb,WR,Cowboys,False
34,Hall Too Well,Breece Hall,RB,Jets,False
39,Hall Too Well,Emeka Egbuka,WR,Buccaneers,False
58,Hall Too Well,Drake Maye,QB,Patriots,False
63,Hall Too Well,Jaylen Warren,RB,Steelers,False
82,Hall Too Well,George Kittle,TE,49ers,False
87,Hall Too Well,Quentin Johnston,WR,Chargers,False
106,Hall Too Well,Wan'Dale Robinson,WR,Titans,False
111,Hall Too Well,Jonah Coleman,RB,Broncos,False
130,Hall Too Well,Jakobi Meyers,WR,Jaguars,False
135,Hall Too Well,Juwan Johnson,TE,Saints,False
154,Hall Too Well,Luther Burden III,WR,Bears,True
159,Hall Too Well,Vikings,DEF,Vikings,False
11,By The Beard of Zeus,Christian McCaffrey,RB,49ers,False
14,By The Beard of Zeus,Kenneth Walker III,RB,Chiefs,False
35,By The Beard of Zeus,Tee Higgins,WR,Bengals,False
38,By The Beard of Zeus,Jaylen Waddle,WR,Broncos,False
59,By The Beard of Zeus,Jayden Daniels,QB,Commanders,False
62,By The Beard of Zeus,Sam LaPorta,TE,Lions,False
83,By The Beard of Zeus,Alec Pierce,WR,Colts,False
86,By The Beard of Zeus,De'Zhaun Stribling,WR,49ers,False
107,By The Beard of Zeus,Mike Washington Jr.,RB,Raiders,False
110,By The Beard of Zeus,Ricky Pearsall,WR,49ers,False
131,By The Beard of Zeus,Kaelon Black,RB,49ers,False
134,By The Beard of Zeus,Jaguars,DEF,Jaguars,False
155,By The Beard of Zeus,Tyler Allgeier,RB,Cardinals,True
158,By The Beard of Zeus,Isaac TeSlaa,WR,Lions,False
12,3peat Worthy,Omarion Hampton,RB,Chargers,False
13,3peat Worthy,Justin Jefferson,WR,Vikings,False
36,3peat Worthy,Ladd McConkey,WR,Chargers,False
37,3peat Worthy,Lamar Jackson,QB,Ravens,False
60,3peat Worthy,MarShawn Lloyd,RB,Packers,False
61,3peat Worthy,TreVeyon Henderson,RB,Patriots,False
84,3peat Worthy,Kyle Pitts,TE,Falcons,False
85,3peat Worthy,Chuba Hubbard,RB,Panthers,False
108,3peat Worthy,Rams,DEF,Rams,False
109,3peat Worthy,Josh Jacobs,RB,Packers,False
132,3peat Worthy,Romeo Doubs,WR,Patriots,False
133,3peat Worthy,Jake Ferguson,TE,Cowboys,False
156,3peat Worthy,Dontayvion Wicks,WR,Eagles,False
157,3peat Worthy,Pat Bryant,WR,Broncos,False
